"","X","pid","age","gendermale","dispatch.Dispatch","qg12","qg10Yes","qg1001","qg901","qg702","qn4003Yes","qg401","qg406","qg15","qn10025","qn6011","qn6014","qn6018","qea0同居","qea0在婚","qea0未婚","qea0离婚","qp605.公费治疗","qp605.城镇居民","qp605.城镇治疗","qp605.新型农村","qp605.补充医疗","qu201Yes","qu202Yes","qu802","qu702","w01","kwa2_b_1不喜欢学校","kwa2_b_1学业成绩","kwa2_b_1经济困难","kwa2_b_1身体健康","qn203Yes","qn4001Yes","qn201_b_1","qn202"
"81","81","128969501",-9.99830261881668,1,1,-40545.6454545455,"0",-267.406211180124,-186.300899427637,-627.965559655597,"0","2","2","0","5","10","10",1.38727780991276,"0","1","0","0","0","0","0","1","0","1","1","4","7","4","0","0","0","0","0","0",-2.15905779504614,-3.49129213483146
"82","82","130005103",3.00169738118332,1,1,71454.3545454546,"0",-277.406211180124,-236.300899427637,372.034440344403,"0","3","3","0","1","3","5",-1.54353488638884,"0","0","0","1","0","0","1","0","0","1","0","5","5","3","0","0","0","0","0","0",-2.15905779504614,-2.49129213483146
"83","83","130012103",-7.99830261881668,1,0,-3545.64545454545,"1",222.593788819876,-136.300899427637,-627.965559655597,"0","3","2","0","0","10","7",-0.287472302259585,"0","1","0","0","0","0","1","0","0","1","1","4","7","5","0","0","0","0","0","0",-2.15905779504614,-4.49129213483146
"84","84","130030103",-9.99830261881668,1,1,-30345.6454545455,"0",-197.406211180124,-286.300899427637,-1127.9655596556,"0","3","3","0","5","5","9",0.1312152257835,"0","1","0","0","0","0","0","1","0","1","0","3","4","5","0","0","1","0","0","0",-1.15905779504614,-1.49129213483146
"85","85","130030502",-7.99830261881668,0,0,-17345.6454545455,"1",122.593788819876,-56.300899427637,-127.965559655597,"0","4","4","2","4","8","8",0.549902753826586,"0","1","0","0","0","0","1","0","0","1","1","5","1","7","0","0","0","0","0","0",-1.15905779504614,2.50870786516854
"86","86","130037106",-14.9983026188167,1,0,-18545.6454545455,"0",-77.4062111801242,-226.300899427637,-627.965559655597,"0","2","2","0","5","8","10",0.1312152257835,"0","0","1","0","0","0","0","1","0","1","1","5","1","4","1","0","0","0","0","0",-2.15905779504614,-2.49129213483146
"87","87","130040551",-11.9983026188167,0,0,-18545.6454545455,"1",-309.406211180124,-308.300899427637,-1127.9655596556,"0","4","4","0","1","10","10",1.38727780991276,"0","1","0","0","0","0","0","1","0","1","0","3","7","4","0","0","1","0","0","0",-2.15905779504614,2.50870786516854
"88","88","130046103",0.00169738118331963,0,1,-23465.6454545455,"0",-177.406211180124,-236.300899427637,-1127.9655596556,"0","4","4","0","7","5","9",0.549902753826586,"0","1","0","0","0","0","1","0","0","1","0","5","1","4","0","0","0","0","0","0",-2.15905779504614,2.50870786516854
"89","89","130046104",-9.99830261881668,0,1,-39545.6454545455,"0",-127.406211180124,-336.300899427637,-827.965559655597,"0","4","4","0","7","5","7",-0.70615983030267,"0","1","0","0","0","0","0","1","0","1","0","4","7","4","0","0","1","0","0","0",-2.15905779504614,-4.49129213483146
"90","90","130051102",4.00169738118332,1,1,9454.35454545455,"1",422.593788819876,184.699100572363,-627.965559655597,"1","4","4","1","3","4","5",-1.96222241443193,"0","1","0","0","0","0","1","0","0","1","1","5","1","7","0","0","1","0","0","0",-2.15905779504614,-1.49129213483146
"91","91","130056104",-5.99830261881668,1,0,-3545.64545454545,"1",222.593788819876,-236.300899427637,-227.965559655597,"0","4","4","0","3","2","8",-1.12484735834576,"0","0","0","0","0","0","1","0","0","1","1","4","3","4","1","0","0","0","0","0",-2.15905779504614,-2.49129213483146
